Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
17000,0.175792, 0.240007, 0.003828, 0.011441,0.453112, 0.961803, 0.508246, 0.660827,0.370263,0.291282,0.169990,0.166617
17100,0.014588, 0.132443, 0.008239, 0.004025,0.545730, 0.778554, 0.983169, 0.806287,0.328333,0.278678,0.155505,0.155187
17200,0.028219, 0.022328, 0.025115, 0.002152,0.186433, 0.990581, 0.530839, 0.834053,0.358220,0.275445,0.152419,0.179239
17300,0.434020, 0.013636, 0.016675, 0.002513,0.750000, 0.971280, 0.704950, 0.647258,0.377830,0.307605,0.164511,0.133651
17400,0.014588, 0.132443, 0.008239, 0.004025,0.906697, 0.934298, 0.024691, 0.781895,0.353303,0.293868,0.185982,0.152420
17500,0.593426, 0.056524, 0.014620, 0.007193,0.861594, 0.895884, 0.482413, 0.923042,0.388427,0.274550,0.155639,0.133884
17600,0.089531, 0.080711, 0.007889, 0.008640,0.747198, 0.966515, 0.647788, 0.698467,0.339313,0.285109,0.118553,0.148335
17700,0.012907, 0.304355, 0.031871, 0.007917,0.974993, 0.959642, 0.420545, 0.807912,0.365332,0.307290,0.168351,0.179189
17800,0.160142, 0.115049, 0.026373, 0.010903,0.158686, 0.959343, 0.718734, 0.805959,0.393721,0.273396,0.167125,0.175828
17900,0.430733, 0.088439, 0.015114, 0.012108,0.586440, 0.877573, 0.573090, 0.948847,0.348711,0.275672,0.116075,0.152805
18000,0.601442, 0.267317, 0.004866, 0.001517,0.759023, 0.921645, 0.614442, 0.611795,0.348734,0.264603,0.171881,0.161154
18100,0.014588, 0.132443, 0.008239, 0.004025,0.581361, 0.963658, 0.865724, 0.921594,0.335307,0.276064,0.160863,0.184369
18200,0.125334, 0.255669, 0.009436, 0.006530,0.710762, 0.904872, 0.951324, 0.654678,0.380393,0.302799,0.183619,0.142631
18300,0.014588, 0.132443, 0.008239, 0.004025,0.559162, 0.944102, 0.520417, 0.812996,0.378233,0.278852,0.160361,0.124999
18400,0.693539, 0.080569, 0.002778, 0.011121,0.556883, 0.979465, 0.733354, 0.961890,0.371606,0.290157,0.172105,0.171289
18500,0.028219, 0.022328, 0.025115, 0.002152,0.493066, 0.969425, 0.643201, 0.881213,0.382109,0.264819,0.147981,0.147610
18600,0.049224, 0.008293, 0.024446, 0.016712,0.474657, 0.844604, 0.279824, 0.909198,0.363658,0.259171,0.136499,0.153031
18700,0.018647, 0.059449, 0.022046, 0.012048,0.597645, 0.982969, 0.084251, 0.803098,0.371798,0.287201,0.173218,0.167160
18800,0.125869, 0.090795, 0.005341, 0.003165,0.873107, 0.904741, 0.896560, 0.745659,0.349473,0.278012,0.151103,0.177268
18900,0.331428, 0.069618, 0.009964, 0.005594,0.755994, 0.900754, 0.954064, 0.839240,0.374678,0.291951,0.157566,0.182435
19000,0.028219, 0.022328, 0.025115, 0.002152,0.507810, 0.874332, 0.767539, 0.682671,0.372598,0.259301,0.149189,0.164848
19100,0.125869, 0.090795, 0.005341, 0.003165,0.777036, 0.880991, 0.638714, 0.824147,0.349497,0.255293,0.168139,0.158937
19200,0.444794, 0.098503, 0.017415, 0.006031,0.940739, 0.964018, 0.391061, 0.928058,0.349918,0.278501,0.149336,0.180048
19300,0.370632, 0.093093, 0.017893, 0.004718,0.994638, 0.995527, 0.613159, 0.718683,0.376181,0.308301,0.156046,0.118807
19400,0.014588, 0.132443, 0.008239, 0.004025,0.979127, 0.899620, 0.287254, 0.723218,0.348471,0.267216,0.168947,0.152698
